Better,Worse,
A4,F1,
E4,F2,
E4,F4,
F3,F1,
A2,A1,
A5,F3,
E1,F5,
E2,E3,
A1,F4,
A5,A4,
A1,E3,
E1,F3,
A2,F4,
E2,F1,
E4,F3,
A2,E5,
F4,F1,
A5,A3,
A4,E5,
E1,F1,
A4,F4,
F3,F2,
A4,E4,
A4,E1,
A4,F3,
E5,F1,
F5,F2,
A2,E1,
A4,E2,
A4,F5,
A3,F3,
A1,F3,
F5,F1,
A3,F5,
E1,F4,
A4,A1,
A1,F2,
A2,E2,
E1,F2,
A3,F4,
A3,E3,
A5,F4,
A5,F2,
F5,F4,
A2,F5,
E1,E3,
A3,E2,
A3,F1,
A2,F1,
A1,F1,
A5,A2,
A2,E4,
A3,E5,
A5,E1,
A5,A1,
A5,E4,
A5,E3,
A2,F2,
A2,F3,
A3,E1,
E4,F5,
A5,E5,
A5,F1,
A3,E4,
E4,F1,
E4,E2,
A3,F2,
A5,E2,
A5,F5,
F5,F3,
A2,E3,
A3,A1,
A4,F2,
E3,F1,
A4,E3,
E4,E3,
