Better,Worse,
S54,S30,
S49,S17,
S25,S48,
S07,S30,
S15,S50,
S25,S14,
S20,S16,
S53,S51,
S25,S15,
S14,S51,
S16,S51,
S08,S29,
S25,S09,
S18,S09,
S15,S11,
S18,S28,
S07,S53,
S07,S09,
S18,S51,
S54,S41,
S18,S16,
S25,S16,
S16,S17,
S55,S50,
S18,S11,
S17,S11,
S53,S41,
S25,S17,
S15,S47,
S18,S15,
S28,S29,
S49,S51,
S53,S14,
S53,S29,
S20,S50,
S53,S16,
S28,S49,
S08,S14,
S49,S09,
S08,S47,
S07,S50,
S11,S50,
S53,S30,
S07,S22,
S55,S22,
S18,S50,
S55,S29,
S07,S14,
S18,S20,
S29,S49,
S09,S47,
S49,S30,
S25,S51,
S07,S15,
S53,S17,
S48,S17,
S15,S51,
S55,S16,
S18,S17,
S48,S47,
S48,S51,
S18,S29,
S53,S47,
S15,S17,
S07,S19,
S25,S53,
S25,S54,
S08,S19,
S09,S50,
S09,S11,
S18,S41,
S25,S47,
S08,S28,
S25,S50,
S25,S29,
S20,S11,
S55,S41,
S20,S51,
S28,S51,
S19,S11,
S18,S49,
S55,S30,
S29,S17,
S19,S29,
S55,S14,
S25,S11,
S49,S22,
S07,S54,
S54,S51,
S20,S22,
S08,S16,
S53,S54,
S25,S20,
S16,S11,
S07,S41,
S22,S51,
S53,S19,
