Better,Worse,
S32,S50,
S18,S20,
S33,S50,
S54,S30,
S18,S28,
S33,S34,
S37,S40,
S32,S34,
S55,S37,
S20,S31,
S47,S34,
S25,S34,
S31,S30,
S49,S34,
S49,S40,
S25,S20,
S33,S19,
S48,S51,
S29,S34,
S25,S29,
S28,S49,
S18,S29,
S55,S32,
S49,S22,
S18,S36,
S37,S35,
S48,S31,
S25,S53,
S29,S31,
S25,S48,
S18,S37,
S29,S49,
S32,S51,
S36,S22,
S53,S33,
S20,S51,
S53,S29,
S20,S22,
S53,S34,
S22,S31,
S25,S50,
S18,S50,
S53,S41,
S36,S28,
S40,S51,
S55,S30,
S20,S37,
S28,S29,
S47,S35,
S28,S51,
S22,S34,
S25,S40,
S36,S50,
S55,S34,
S28,S34,
S54,S35,
S48,S47,
S33,S41,
S32,S20,
S33,S29,
S29,S37,
S25,S54,
S48,S37,
S32,S22,
S55,S22,
S20,S50,
S53,S54,
S48,S35,
S36,S35,
S28,S40,
S18,S49,
S53,S30,
S36,S29,
S22,S51,
S53,S51,
S33,S47,
S18,S34,
S18,S41,
S20,S40,
S53,S47,
S33,S40,
S33,S51,
S54,S41,
S20,S34,
S25,S51,
S55,S29,
S25,S47,
S55,S41,
S20,S35,
S33,S22,
S25,S32,
S55,S35,
S55,S31,
S49,S51,
S55,S50,
S54,S37,
S53,S19,
S19,S29,
S18,S51,
S22,S37,
S18,S40,
S54,S51,
S22,S40,
S49,S30,
S32,S35,
S33,S28,
