Better,Worse,
D003,B002,
E005,H003,
C001,I003,
C001,H005,
C004,I002,
E002,B004,
C004,I003,
E002,C003,
E003,B003,
C002,C004,
B003,I005,
E004,I001,
E005,C001,
C005,I002,
D003,I001,
C002,I005,
E001,B002,
B001,H003,
H003,I002,
I001,I005,
C001,D005,
D001,I003,
E002,I005,
E001,B001,
E005,D004,
C001,I005,
C003,B002,
C002,I001,
D002,I005,
C002,B003,
D005,I002,
C005,B003,
E003,E001,
H003,B003,
B002,I005,
H003,I001,
E001,H003,
C002,I003,
C004,D005,
D001,I005,
H003,I005,
C001,D002,
B001,I002,
E003,B002,
C002,C001,
E005,B003,
C005,H003,
H004,C005,
C001,B004,
H004,B002,
H004,C003,
H004,B004,
H004,D004,
H004,I005,
H005,I003,
E005,C004,
H005,B001,
H004,C004,
E005,E002,
H004,D002,
C005,I005,
E003,E005,
C004,I005,
E005,I002,
C002,E004,
D002,B002,
C003,D002,
E001,I002,
E002,D001,
C001,D004,
D004,D001,
D003,B003,
H004,E004,
E005,D001,
C003,B004,
E004,I005,
E003,I001,
E002,B001,
B001,B004,
C004,D004,
B001,B003,
E005,D005,
C004,E001,
B001,I003,
D001,H003,
C004,C003,
E004,B004,
B003,I002,
H004,I003,
E005,E004,
C002,B002,
D004,B002,
E003,I003,
C002,B004,
B002,I003,
E004,B003,
D004,E001,
E004,I002,
E004,I003,
D005,I003,
C004,B004,
C001,D001,
D004,B004,
D004,B003,
E005,I001,
C002,E005,
E002,D003,
D005,B001,
D003,I002,
E002,B002,
C005,H005,
E005,E001,
B003,I003,
D004,B001,
E003,B004,
C005,D001,
C001,E001,
D003,I003,
C001,D003,
C005,D002,
H005,I002,
D003,I005,
H004,E001,
E003,C004,
C003,D003,
E002,D002,
E001,I001,
E005,D002,
D002,I002,
D002,B004,
C001,B001,
E002,I001,
C003,H003,
E003,D001,
C001,B002,
E002,H005,
C004,D002,
C002,E002,
H003,I003,
H004,D001,
D004,D005,
C002,B001,
B002,B004,
H004,H005,
C001,B003,
E003,C005,
E002,I002,
C005,E004,
C003,B003,
D005,I001,
E003,C001,
D004,I001,
B003,B004,
E001,D003,
C005,D005,
C005,C003,
D001,D003,
E005,D003,
C004,B002,
C003,B001,
C003,I002,
E005,B001,
E005,B004,
E002,D005,
E002,B003,
C004,H003,
C005,E001,
C004,B003,
C002,C005,
E005,C005,
C005,D003,
C005,E002,
B002,I002,
C004,D003,
C005,D004,
C002,H005,
D005,D002,
C005,B001,
C002,D003,
E001,I005,
E002,E004,
E002,I003,
C003,I003,
I002,I005,
E004,B002,
D002,D003,
E002,E001,
C004,H005,
D001,B004,
H004,E005,
C002,E001,
E001,D001,
H005,D001,
D004,H005,
E001,I003,
E003,D003,
D005,D001,
B003,B002,
C005,B002,
D002,B003,
H004,E002,
H004,I001,
H005,I001,
D005,B003,
E005,I005,
C005,B004,
E002,H003,
H005,H003,
D002,D001,
C002,D001,
I001,B004,
H004,H003,
E003,E002,
H004,D003,
C005,I003,
E005,H005,
D004,I005,
E003,H005,
E003,D005,
H004,D005,
H005,D003,
E001,D002,
D005,I005,
E004,D002,
D004,H003,
C001,I001,
D002,I001,
E004,B001,
I003,I005,
D005,B002,
I001,I002,
E005,I003,
E003,D004,
I001,I003,
D002,B001,
E003,H003,
B001,D003,
H005,B002,
H003,B004,
C002,H003,
C004,D001,
D005,H003,
E003,I005,
C001,E002,
D004,I003,
C002,C003,
C003,I001,
D001,B003,
C002,D004,
C001,I002,
C002,D002,
E004,D001,
C003,I005,
C002,D005,
C004,B001,
D004,D002,
H004,C001,
E005,B002,
C001,E004,
E004,H003,
C001,C003,
B001,B002,
C004,E002,
D001,I001,
H005,D002,
D005,B004,
E003,D002,
D003,B004,
E005,C003,
D002,H003,
H005,B003,
B004,I005,
H003,B002,
D001,B001,
E003,B001,
H004,B003,
D001,B002,
D004,E004,
C003,D001,
D001,I002,
D004,D003,
D005,D003,
E003,E004,
B001,I001,
C001,H003,
E003,C003,
H005,I005,
C002,I002,
E004,D003,
C005,I001,
C004,E004,
D002,I003,
C004,I001,
D004,I002,
E001,B003,
H004,B001,
E001,B004,
B001,I005,
H005,B004,
D004,C003,
B003,I001,
H004,I002,
E003,I002,
