Better,Worse,
H004,G001,
F001,I005,
C004,F001,
C002,F004,
G003,B004,
C003,G003,
H005,G004,
G002,I003,
I001,I002,
C003,I001,
C002,G003,
F003,I002,
G003,G004,
H003,G005,
H005,B002,
F001,G004,
F002,F004,
C004,B002,
H005,I003,
F001,I003,
C003,B004,
G002,B002,
F005,G003,
C002,C001,
G002,I005,
F001,I001,
C001,B002,
H004,G004,
H004,I001,
I002,I005,
F005,B004,
B001,I002,
F005,G005,
C001,F005,
C002,B002,
B001,B003,
F005,I003,
I001,G004,
G003,B002,
C002,I003,
F002,I005,
G002,G004,
I002,G004,
C005,I002,
G001,G004,
C004,F003,
G002,F004,
H004,F002,
B001,B004,
B001,F004,
F002,B001,
F001,B002,
B001,G003,
C001,I002,
C005,I003,
H005,I001,
B003,I001,
F003,G001,
H005,F004,
B003,F003,
H004,I005,
F002,G005,
B003,G001,
F003,B002,
C005,F004,
F002,B004,
F002,F001,
F002,G003,
H004,I002,
C002,C003,
B001,B002,
C001,G002,
H005,B004,
B003,B002,
C003,F004,
G002,I001,
C002,B004,
C001,B004,
H005,F003,
C005,G002,
B003,F004,
C003,G005,
F002,B002,
H003,G001,
C003,F003,
F002,G002,
F002,C003,
F005,B002,
C004,G003,
F002,H005,
F002,F005,
H004,F003,
H005,B001,
H004,B003,
C005,B004,
G005,B004,
F005,I001,
F002,B003,
C004,B004,
G005,F004,
I003,G004,
C004,I002,
B003,I003,
H004,B001,
C001,G001,
H004,G002,
C005,F005,
H005,H003,
H003,I001,
C003,I003,
C005,G004,
G001,I005,
F003,B004,
H005,G002,
G005,G001,
H005,G003,
I001,B004,
F001,H003,
F005,B003,
C002,C004,
C004,G002,
B001,G005,
C002,F002,
C002,G002,
G002,G001,
C001,I001,
C005,I005,
F001,F005,
B001,G002,
C005,H005,
C002,I005,
C002,H003,
C002,G001,
C001,G004,
G002,F003,
C002,G005,
C001,I003,
F001,F003,
B004,I005,
B002,I002,
C001,H005,
C004,H003,
B003,G004,
C005,H003,
G005,G003,
B003,I002,
F004,G004,
B002,I005,
F002,I001,
C003,I002,
F001,B003,
H004,H003,
F005,I002,
B004,G004,
C004,G004,
F002,I003,
H003,I005,
C003,F005,
H004,F004,
F005,F004,
B002,I003,
C004,C003,
C002,F003,
C005,G005,
H004,G003,
H003,B003,
F001,G001,
C001,G003,
H004,F001,
G003,I005,
F004,I002,
H004,B004,
F002,F003,
C005,B002,
B001,H003,
C005,B001,
C003,G001,
B001,I003,
H004,C004,
G003,I002,
C005,C003,
I001,I003,
F001,G003,
B002,G004,
F001,F004,
F003,I001,
H005,I005,
G002,I002,
F001,B001,
C004,I005,
G003,I003,
C005,I001,
C003,H003,
G005,I001,
G001,I002,
H005,G005,
C001,F001,
C005,B003,
C001,F003,
B001,G001,
C002,G004,
C002,F005,
C004,H005,
G001,B004,
H005,I002,
H004,C005,
H003,B004,
G005,I003,
F004,I003,
I001,I005,
C004,G005,
F005,I005,
B001,G004,
F004,B004,
C003,F001,
F005,G002,
F002,I002,
C005,F001,
G001,I003,
H003,B002,
H005,G001,
C003,G002,
F004,G001,
C001,C003,
F002,G004,
H003,I002,
C001,I005,
F001,G005,
F003,I005,
B003,I005,
F001,G002,
C001,B001,
C002,H005,
H003,F004,
F004,I001,
F004,B002,
C002,F001,
H004,B002,
G005,G004,
G005,I002,
F002,H003,
C004,I001,
H005,B003,
G003,G001,
C001,B003,
H005,F001,
C005,G003,
F005,H003,
F001,B004,
F002,G001,
H003,G003,
F003,G004,
B001,F003,
G005,I005,
B001,I001,
F005,B001,
B003,B004,
C003,B003,
C004,F005,
F005,G004,
C005,F003,
C002,I001,
H003,G004,
B003,G003,
C004,F004,
C004,B001,
H004,I003,
F004,I005,
C001,H003,
C003,I005,
H003,F003,
H004,C001,
G005,F003,
C003,G004,
G005,B002,
H004,C003,
C002,B003,
G002,B004,
C003,B002,
G003,I001,
C002,I002,
G002,G003,
C004,I003,
F003,I003,
H003,G002,
F005,G001,
H004,F005,
C001,G005,
H003,I003,
H005,F005,
C004,B003,
B001,I005,
C005,G001,
C004,G001,
F005,F003,
H004,H005,
B002,B004,
I003,I005,
G004,I005,
C001,F004,
F001,I002,
C002,B001,
H004,G005,
C002,C005,
C003,B001,
