Better,Worse,
H003,B004,
C004,I002,
C004,H005,
H003,C002,
I004,E002,
C004,D005,
C001,I001,
E003,C005,
C004,D001,
E002,B003,
I005,B004,
I004,C005,
C003,D002,
H005,B003,
E002,E005,
E004,I001,
D001,B005,
H003,D004,
I002,I005,
E003,D005,
C001,D001,
C004,D003,
H005,E004,
C004,C001,
C004,E005,
I005,D004,
C004,B004,
C003,E003,
C002,C005,
H003,H005,
E002,H004,
I002,H001,
C001,H001,
I004,D003,
H005,H004,
C004,H003,
H003,I003,
C001,H003,
C004,B001,
I005,B003,
C004,E001,
I001,B005,
E002,B004,
D005,B003,
E004,B001,
D005,B004,
I004,D005,
C004,B005,
H005,E002,
C004,B003,
D001,B001,
C002,H004,
I002,D001,
D005,H001,
C004,C005,
C001,E003,
B002,D004,
I002,B003,
C004,D002,
I004,C002,
C001,D002,
I002,H004,
I002,E005,
H005,D001,
I002,D003,
E001,B003,
I001,H001,
H001,B001,
C003,B004,
D002,E001,
C001,B005,
C003,H001,
C002,B003,
C002,E001,
E005,B004,
C003,E001,
E002,B002,
E004,D004,
H003,D001,
E002,D003,
C004,D004,
I005,B001,
I002,E001,
E001,D003,
C003,D003,
H004,H001,
H005,I003,
B002,D003,
E003,D003,
E002,D004,
C003,B005,
I004,B003,
B005,D004,
H003,H004,
C002,E004,
I001,B001,
C001,D004,
C001,E001,
I005,B005,
I002,D002,
B002,B004,
I004,I003,
H003,I001,
D003,D004,
I004,H001,
C001,C005,
H003,B003,
C001,D003,
C002,D001,
B005,B004,
I005,D001,
I004,E005,
C003,E002,
C001,B002,
C001,I005,
E004,B005,
C003,B001,
E005,D005,
H001,B005,
E002,C005,
D003,B004,
I004,B002,
H001,D004,
E003,D002,
B001,B005,
C004,C002,
D002,D003,
E002,H001,
I001,D004,
I005,D002,
E002,B001,
C001,B003,
H005,D004,
D003,B005,
E002,D001,
B004,D004,
E003,H001,
E005,D002,
H005,B001,
D002,B004,
H005,C005,
D002,B005,
I002,C005,
I002,I001,
I005,D003,
I004,B005,
C003,D005,
I002,B001,
C004,E004,
E005,B001,
C003,C005,
E002,D005,
C001,I002,
E005,D001,
H004,D001,
E003,D001,
H005,D005,
B002,H001,
C003,I001,
I004,E001,
C005,D003,
H004,D005,
C001,E002,
E004,B004,
I003,D004,
E004,D003,
H004,I001,
H003,I002,
H003,B002,
I002,I003,
I003,H001,
I002,E002,
E001,D005,
C004,I005,
E004,I003,
H003,D002,
I002,B002,
D002,B001,
C004,I004,
D002,I001,
I004,D001,
H005,I005,
C003,I004,
E004,D001,
C002,I003,
I004,B001,
E004,D005,
C003,H004,
I003,D003,
E002,E001,
H003,E003,
D002,D001,
C002,D004,
I001,D001,
C005,B003,
I003,B004,
C001,D005,
D002,D005,
C001,B001,
D002,H001,
I004,D004,
E001,D004,
C001,E005,
C005,H001,
I001,D003,
C005,B004,
E003,B004,
C003,B003,
D005,D004,
D002,B003,
E002,B005,
B002,D001,
B002,B003,
C001,I004,
E003,B003,
H005,B005,
H003,E001,
I001,B004,
H004,E001,
I004,I005,
E002,I003,
E004,C005,
D002,C005,
C001,E004,
C002,I001,
E001,B001,
H003,E002,
H001,B004,
C004,H001,
H003,I004,
D002,I003,
E001,B005,
H004,C005,
I002,E003,
C004,I003,
H005,E001,
H005,E003,
C004,E003,
C002,D005,
I002,E004,
H004,B005,
B003,B001,
H004,I003,
H003,B005,
I004,D002,
E002,D002,
I002,C002,
C002,E005,
B002,D005,
I003,D005,
C002,D002,
E003,B005,
E003,D004,
H003,E005,
H005,B002,
H005,I001,
D002,D004,
E004,B003,
C003,C002,
C001,I003,
C005,D005,
E001,B004,
E002,I005,
H004,D003,
E004,B002,
I003,B001,
C003,B002,
I001,B003,
E001,D001,
I005,B002,
C003,H003,
I004,E003,
D001,B004,
B003,D004,
I001,D005,
H005,H001,
C002,B002,
C003,I005,
E003,I003,
E004,D002,
D003,B001,
C003,D004,
C003,E004,
E005,E001,
C003,I002,
H003,E004,
B003,B005,
H004,B002,
E005,D003,
E005,H001,
E002,E004,
C004,B002,
I005,D005,
C001,C002,
B001,D004,
H003,D005,
E001,H001,
I002,B004,
H004,D002,
E004,H001,
D005,D003,
I005,I001,
B002,B001,
C003,E005,
C002,D003,
I005,C005,
D005,B001,
E005,B003,
H003,C005,
I005,I003,
C004,I001,
C004,H004,
H003,I005,
E003,B002,
E002,I001,
C004,E002,
H004,B004,
E005,I001,
I002,H005,
C003,I003,
D005,D001,
I002,D004,
C002,I005,
H004,B001,
E002,E003,
E003,E001,
H004,D004,
I003,D001,
B001,B004,
C005,D004,
C005,B005,
I005,E001,
C005,D001,
C002,B004,
C001,H005,
H005,D002,
E005,B005,
I004,B004,
H005,C002,
E003,I001,
C003,D001,
H003,B001,
I004,I001,
H004,B003,
C002,B005,
B002,B005,
H005,B004,
C001,B004,
H003,H001,
I004,H005,
I004,E004,
E005,C005,
C001,H004,
D005,B005,
E004,E001,
H003,D003,
I003,B003,
I005,H001,
I002,D005,
C003,H005,
I002,B005,
I004,H004,
C002,B001,
C004,C003,
D002,B002,
E003,B001,
B003,B004,
E005,B002,
E005,D004,
E005,I003,
H005,E005,
I003,B005,
H005,D003,
D001,D004,
C005,B001,
C002,E003,
C002,H001,
