Better,Worse,
B004,B001,
H002,D004,
H005,C005,
D004,C002,
H005,E004,
E004,C001,
H005,C001,
C001,B002,
H005,I002,
H002,D002,
D005,D003,
B003,D001,
E005,C001,
H004,H002,
I002,B002,
I003,D002,
E005,B003,
B003,D002,
E003,B001,
B004,D005,
D002,B002,
I005,E005,
E004,E003,
E001,D004,
E001,D002,
I005,C004,
D005,B002,
E001,C004,
E005,D001,
C004,B002,
I005,I004,
B004,D001,
B004,C001,
I004,E003,
H004,I003,
D004,D003,
B004,B003,
H005,B002,
D005,D001,
B004,D003,
H004,E005,
C005,B002,
H002,D003,
C005,C003,
I003,D003,
B001,C003,
I003,E001,
H005,C004,
H002,C005,
E004,B002,
E001,D001,
I005,D002,
B003,C002,
H004,I002,
E003,D002,
B003,E001,
C004,C001,
B003,C005,
H005,H002,
I005,B001,
I005,H002,
E003,C001,
D005,D002,
I003,D005,
D003,C003,
E005,D003,
H005,H004,
D005,B001,
H005,E005,
C001,C003,
C001,D001,
H002,D005,
H004,B004,
E004,D005,
E004,D001,
H004,D004,
I002,D001,
E004,C003,
E005,D005,
C001,D003,
E005,C004,
I005,C002,
H002,E004,
D002,D003,
D005,C004,
H002,C003,
E003,D001,
D004,C003,
B004,E001,
H002,E005,
I002,B001,
H004,B001,
B004,D004,
I002,C002,
H002,I003,
C004,D002,
E004,I002,
B003,B001,
E005,B002,
E005,B001,
I003,C003,
D004,B001,
B002,C003,
H002,B002,
D002,D001,
I002,C003,
E001,B001,
I004,C002,
I005,I002,
B004,C002,
C004,C002,
H005,D001,
I004,D001,
I004,D005,
E005,C003,
E003,B002,
I004,D002,
E001,D003,
D005,I002,
I005,C001,
I003,E003,
H002,D001,
C005,C002,
E005,E001,
H004,C005,
H002,E001,
E003,I002,
H005,E001,
B004,E004,
D001,C003,
I004,C001,
H005,B004,
H002,C004,
I002,D003,
I003,C002,
I004,E004,
I005,D001,
I005,I003,
B004,E003,
I005,H005,
H004,B003,
D004,C001,
B003,B002,
H005,I003,
H005,B001,
H002,C001,
I003,C004,
D004,B002,
E005,E004,
C005,D002,
E003,C005,
E001,B002,
I005,C003,
D005,D004,
I005,B002,
I004,C003,
E004,D002,
B004,B002,
E005,D004,
I005,E004,
D005,C003,
H004,I004,
H004,E004,
H005,I004,
H005,C003,
C004,B001,
D002,C003,
E004,E001,
D001,B002,
C002,B001,
D003,B001,
H004,C003,
I005,B004,
D004,D001,
E003,C004,
H002,B001,
I004,C004,
I005,B003,
I004,I003,
C002,B002,
B003,D003,
H002,I004,
I003,B001,
H002,B003,
I005,C005,
H005,B003,
H004,D005,
I003,C001,
B003,C003,
H004,C002,
B003,D005,
I004,D004,
B004,I004,
D003,B002,
C005,C001,
I004,E005,
H005,D004,
I005,D004,
E005,I002,
H004,E003,
B004,D002,
H005,C002,
H004,D001,
B003,D004,
I003,C005,
H005,D005,
E005,I003,
E003,C003,
D001,B001,
I004,B002,
I005,D005,
E005,C002,
I005,E003,
I004,E001,
D003,C002,
I004,I002,
D002,C002,
E001,C005,
H005,D003,
I005,H004,
D004,D002,
H002,E003,
I004,C005,
I003,B002,
B003,I002,
E005,E003,
C005,B001,
E003,D003,
E003,D004,
E003,C002,
B004,C004,
E004,D003,
B003,E003,
H004,C001,
B003,C004,
D005,C001,
B003,C001,
E004,C004,
C004,D003,
E004,B001,
H004,D002,
H005,D002,
D005,C005,
C005,D003,
C005,D001,
I004,B003,
H005,E003,
D002,B001,
H002,I002,
C002,C003,
C004,D001,
C004,C003,
H004,D003,
B004,E005,
D003,D001,
E001,C003,
H004,B002,
I005,E001,
B004,C005,
C001,B001,
I004,D003,
I003,D001,
I005,D003,
C001,C002,
B004,I003,
D005,C002,
H002,C002,
E004,C005,
E004,D004,
B004,I002,
E001,C001,
I004,B001,
E001,I002,
E001,C002,
I003,I002,
E005,D002,
I002,C001,
E004,C002,
B004,C003,
I002,D002,
H004,E001,
H004,C004,
E005,C005,
I003,D004,
