Better,Worse,
F001,E001,
E004,C003,
F004,E004,
E004,B002,
B004,D001,
B004,C001,
F001,B003,
D004,C001,
C004,C002,
F003,D002,
D004,D002,
D001,B001,
B004,E004,
D005,C002,
C005,D001,
D002,D001,
D001,B002,
D005,D004,
B003,D003,
E004,D004,
E001,C005,
E001,D004,
E004,C002,
C002,C003,
F001,D001,
E004,C001,
F004,D002,
E003,D003,
F001,E004,
C005,D003,
E001,D003,
E005,D004,
F003,C003,
C001,B001,
F004,C004,
F003,D001,
D005,C001,
B003,D005,
F001,E005,
E005,B002,
E003,C004,
E003,B002,
E005,E001,
B004,E001,
B004,B001,
F003,C004,
B002,C003,
F001,E003,
D004,C002,
F004,C005,
B003,E001,
F003,B001,
B003,C002,
D003,B001,
B004,D004,
C004,C003,
E004,E003,
B003,B001,
B003,D002,
F004,D003,
E003,D004,
C004,C001,
D003,C002,
E005,E003,
E005,B001,
D003,C003,
E004,D001,
F001,F003,
F001,C005,
F003,E003,
D004,B001,
D004,B002,
E001,C001,
D005,D003,
F001,B001,
F001,B004,
D004,D001,
F003,E001,
E001,C003,
E001,D002,
E004,D003,
D005,C003,
F003,C002,
F003,D005,
B003,C005,
B003,D001,
F001,D003,
F003,D004,
E001,C004,
B004,C002,
B004,C005,
C005,C002,
F004,D001,
E001,C002,
E001,B001,
F004,B001,
E003,C005,
E004,E001,
E004,D005,
D004,C003,
E005,D002,
C005,C003,
F003,C001,
E005,F003,
C001,C003,
E005,C004,
F001,C001,
F004,C001,
F003,D003,
F001,D004,
D003,D001,
F004,C002,
B004,C003,
C005,B002,
D003,B002,
C004,D001,
C001,B002,
E005,C002,
C005,D002,
E005,D005,
C002,B001,
B003,D004,
E001,D001,
F004,D004,
D002,C002,
B003,E003,
F004,D005,
E004,D002,
B003,B002,
F004,B002,
F001,C004,
C005,C001,
F004,C003,
E004,C004,
E003,C002,
C002,B002,
D002,B001,
F001,D005,
E004,C005,
B004,E003,
F001,C002,
E003,B001,
C005,B001,
F003,B002,
F004,B004,
B004,D003,
F004,E003,
E005,C001,
F004,F001,
E005,C003,
B001,C003,
F004,F003,
F003,B003,
C001,C002,
D002,D003,
D005,C005,
E005,B003,
E005,C005,
E005,D003,
D005,B001,
F004,B003,
B004,C004,
E003,C003,
C004,B002,
D005,D002,
F003,E004,
E001,B002,
D001,C003,
D002,B002,
B004,E005,
C001,D003,
D004,D003,
D005,D001,
E005,D001,
E003,C001,
B004,D002,
F004,E005,
F001,B002,
C004,B001,
F001,C003,
B004,B002,
F001,D002,
C004,D002,
B003,C004,
B004,B003,
E003,D001,
B004,D005,
B003,C003,
C001,D001,
D005,B002,
E003,D002,
B003,C001,
B004,F003,
D002,C003,
E005,E004,
F003,C005,
F004,E001,
E004,B001,
C004,D003,
D005,C004,
