Better,Worse,
H002,D001,
F001,I002,
F004,H004,
I004,E004,
H005,H004,
E005,D004,
E005,D003,
I003,D005,
F004,I002,
I004,D005,
H004,E005,
H002,E005,
I005,D002,
H005,I004,
F001,D005,
I005,E005,
F004,I005,
I005,D004,
E004,I002,
H004,I004,
E004,D001,
E005,I002,
F004,F001,
E005,D002,
I004,I002,
F003,D001,
I002,D003,
H004,D002,
E003,D002,
H005,H002,
F001,H004,
F001,I004,
I003,D001,
E005,D005,
F003,D003,
D004,D002,
D005,I002,
H004,E003,
E001,D003,
D003,D001,
F001,H005,
E005,D001,
H004,I003,
E001,D004,
H005,D004,
F001,D004,
I005,F003,
E001,D002,
E004,D004,
F003,I002,
H002,D004,
H002,D003,
E004,E003,
E001,D001,
I002,D002,
F001,E003,
I005,E001,
I002,D001,
H005,E005,
F001,F003,
I005,I003,
I005,I004,
F001,E005,
F004,D005,
H005,D002,
I005,I002,
E003,D001,
I003,E003,
F003,E004,
H005,F003,
H005,I003,
F004,I003,
F003,D004,
I005,D005,
F001,E004,
E004,E001,
H002,I002,
F004,F003,
H004,D003,
F004,E004,
I004,E001,
E005,E003,
E004,D003,
H005,E003,
F004,E003,
H004,I002,
D005,D004,
H004,D005,
F001,D002,
E004,D005,
H004,D004,
E003,I002,
H005,D001,
F003,E001,
H005,D005,
E005,F003,
H005,I002,
I004,D002,
F001,D003,
H002,F003,
I005,H004,
I003,D002,
D002,D003,
H005,E004,
H002,E004,
H002,I003,
I004,E005,
I004,F003,
H004,E004,
I005,D001,
F004,H002,
D005,D002,
I004,D003,
H002,D005,
F003,D002,
H002,I004,
E001,I002,
H004,F003,
I003,D004,
I003,D003,
I005,D003,
F004,E005,
I003,I002,
F003,E003,
I005,E004,
H004,H002,
H005,E001,
D005,D003,
H005,D003,
E005,E004,
I004,D001,
E004,D002,
F004,D004,
F001,I003,
F001,E001,
I005,H002,
D002,D001,
F004,I004,
H004,D001,
E003,D004,
E003,D003,
F003,D005,
F003,I003,
F004,D002,
F001,H002,
D004,D001,
F001,D001,
E005,I003,
F004,E001,
I005,H005,
F004,H005,
I005,E003,
H002,D002,
F004,D001,
I004,I003,
I004,D004,
H004,E001,
F004,D003,
H002,E003,
I004,E003,
E005,E001,
D004,D003,
D005,D001,
I005,F001,
H002,E001,
I003,E001,
